Symbol,Company Name,exchange_code,asset_type,data_source,note_1
ABB.NS,ABB India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ACC.NS,ACC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
APLAPOLLO.NS,APL Apollo Tubes Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
AUBANK.NS,AU Small Finance Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ADANIENSOL.NS,Adani Energy Solutions Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ADANIENT.NS,Adani Enterprises Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ADANIGREEN.NS,Adani Green Energy Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ADANIPOWER.NS,Adani Power Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ATGL.NS,Adani Total Gas Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ABCAPITAL.NS,Aditya Birla Capital Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ALKEM.NS,Alkem Laboratories Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
AMBUJACEM.NS,Ambuja Cements Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
APOLLOTYRE.NS,Apollo Tyres Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ASHOKLEY.NS,Ashok Leyland Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ASIANPAINT.NS,Asian Paints Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ASTRAL.NS,Astral Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
AUROPHARMA.NS,Aurobindo Pharma Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
DMART.NS,Avenue Supermarts Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
AXISBANK.NS,Axis Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BSE.NS,BSE Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BAJFINANCE.NS,Bajaj Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BAJAJFINSV.NS,Bajaj Finserv Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BALKRISIND.NS,Balkrishna Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BANDHANBNK.NS,Bandhan Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BANKBARODA.NS,Bank of Baroda,NSE,STOCK,NSEINDIA-COM,NIFTY200
BANKINDIA.NS,Bank of India,NSE,STOCK,NSEINDIA-COM,NIFTY200
MAHABANK.NS,Bank of Maharashtra,NSE,STOCK,NSEINDIA-COM,NIFTY200
BDL.NS,Bharat Dynamics Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BEL.NS,Bharat Electronics Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BHARATFORG.NS,Bharat Forge Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BHEL.NS,Bharat Heavy Electricals Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BPCL.NS,Bharat Petroleum Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BHARTIARTL.NS,Bharti Airtel Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BHARTIHEXA.NS,Bharti Hexacom Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BIOCON.NS,Biocon Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BOSCHLTD.NS,Bosch Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
BRITANNIA.NS,Britannia Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
CANBK.NS,Canara Bank,NSE,STOCK,NSEINDIA-COM,NIFTY200
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
CIPLA.NS,Cipla Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
COALINDIA.NS,Coal India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
COCHINSHIP.NS,Cochin Shipyard Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
COFORGE.NS,Coforge Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
COLPAL.NS,Colgate Palmolive (India) Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
CONCOR.NS,Container Corporation of India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
CUMMINSIND.NS,Cummins India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
DLF.NS,DLF Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
DABUR.NS,Dabur India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
DELHIVERY.NS,Delhivery Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
DIVISLAB.NS,Divi's Laboratories Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
DIXON.NS,Dixon Technologies (India) Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
DUMMYITC.NS,Dummy ITC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
EICHERMOT.NS,Eicher Motors Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ESCORTS.NS,Escorts Kubota Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
EXIDEIND.NS,Exide Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NYKAA.NS,FSN E-Commerce Ventures Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
FEDERALBNK.NS,Federal Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
GAIL.NS,GAIL (India) Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
GMRAIRPORT.NS,GMR Airports Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
GODREJCP.NS,Godrej Consumer Products Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
GODREJPROP.NS,Godrej Properties Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
GRASIM.NS,Grasim Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HCLTECH.NS,HCL Technologies Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HDFCAMC.NS,HDFC Asset Management Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HDFCBANK.NS,HDFC Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HAVELLS.NS,Havells India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HEROMOTOCO.NS,Hero MotoCorp Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HINDALCO.NS,Hindalco Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HAL.NS,Hindustan Aeronautics Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HINDUNILVR.NS,Hindustan Unilever Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HINDZINC.NS,Hindustan Zinc Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
HUDCO.NS,Housing & Urban Development Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ICICIBANK.NS,ICICI Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IDBI.NS,IDBI Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IDFCFIRSTB.NS,IDFC First Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IRB.NS,IRB Infrastructure Developers Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ITC.NS,ITC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
INDIANB.NS,Indian Bank,NSE,STOCK,NSEINDIA-COM,NIFTY200
INDHOTEL.NS,Indian Hotels Co. Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IOC.NS,Indian Oil Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IOB.NS,Indian Overseas Bank,NSE,STOCK,NSEINDIA-COM,NIFTY200
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IRFC.NS,Indian Railway Finance Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IGL.NS,Indraprastha Gas Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
INDUSTOWER.NS,Indus Towers Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
INDUSINDBK.NS,IndusInd Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NAUKRI.NS,Info Edge (India) Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
INFY.NS,Infosys Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
INDIGO.NS,InterGlobe Aviation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
JSWENERGY.NS,JSW Energy Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
JSWINFRA.NS,JSW Infrastructure Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
JSWSTEEL.NS,JSW Steel Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
JINDALSTEL.NS,Jindal Steel & Power Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
JIOFIN.NS,Jio Financial Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
JUBLFOOD.NS,Jubilant Foodworks Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
KPITTECH.NS,KPIT Technologies Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
LTF.NS,L&T Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
LICHSGFIN.NS,LIC Housing Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
LTIM.NS,LTIMindtree Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
LT.NS,Larsen & Toubro Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
LICI.NS,Life Insurance Corporation of India,NSE,STOCK,NSEINDIA-COM,NIFTY200
LUPIN.NS,Lupin Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MRF.NS,MRF Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
LODHA.NS,Macrotech Developers Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
M&M.NS,Mahindra & Mahindra Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MANKIND.NS,Mankind Pharma Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MARICO.NS,Marico Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MARUTI.NS,Maruti Suzuki India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MFSL.NS,Max Financial Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MAXHEALTH.NS,Max Healthcare Institute Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MPHASIS.NS,MphasiS Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MUTHOOTFIN.NS,Muthoot Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NHPC.NS,NHPC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NLCINDIA.NS,NLC India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NMDC.NS,NMDC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NTPC.NS,NTPC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
NESTLEIND.NS,Nestle India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
OBEROIRLTY.NS,Oberoi Realty Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ONGC.NS,Oil & Natural Gas Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
OIL.NS,Oil India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PAYTM.NS,One 97 Communications Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
OFSS.NS,Oracle Financial Services Software Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
POLICYBZR.NS,PB Fintech Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PIIND.NS,PI Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PAGEIND.NS,Page Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PATANJALI.NS,Patanjali Foods Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PERSISTENT.NS,Persistent Systems Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PETRONET.NS,Petronet LNG Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PHOENIXLTD.NS,Phoenix Mills Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PIDILITIND.NS,Pidilite Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
POLYCAB.NS,Polycab India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
POONAWALLA.NS,Poonawalla Fincorp Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PFC.NS,Power Finance Corporation Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
POWERGRID.NS,Power Grid Corporation of India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PRESTIGE.NS,Prestige Estates Projects Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
PNB.NS,Punjab National Bank,NSE,STOCK,NSEINDIA-COM,NIFTY200
RECLTD.NS,REC Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
RVNL.NS,Rail Vikas Nigam Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
RELIANCE.NS,Reliance Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SBICARD.NS,SBI Cards and Payment Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SBILIFE.NS,SBI Life Insurance Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SJVN.NS,SJVN Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SRF.NS,SRF Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
MOTHERSON.NS,Samvardhana Motherson International Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SHREECEM.NS,Shree Cement Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SHRIRAMFIN.NS,Shriram Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SIEMENS.NS,Siemens Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SOLARINDS.NS,Solar Industries India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SBIN.NS,State Bank of India,NSE,STOCK,NSEINDIA-COM,NIFTY200
SAIL.NS,Steel Authority of India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SUNDARMFIN.NS,Sundaram Finance Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SUPREMEIND.NS,Supreme Industries Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
SUZLON.NS,Suzlon Energy Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TVSMOTOR.NS,TVS Motor Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATACHEM.NS,Tata Chemicals Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATACOMM.NS,Tata Communications Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TCS.NS,Tata Consultancy Services Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATACONSUM.NS,Tata Consumer Products Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATAELXSI.NS,Tata Elxsi Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATAMOTORS.NS,Tata Motors Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATAPOWER.NS,Tata Power Co. Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATASTEEL.NS,Tata Steel Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TATATECH.NS,Tata Technologies Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TECHM.NS,Tech Mahindra Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TITAN.NS,Titan Company Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TORNTPOWER.NS,Torrent Power Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TRENT.NS,Trent Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
TIINDIA.NS,Tube Investments of India Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
UPL.NS,UPL Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ULTRACEMCO.NS,UltraTech Cement Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
UNIONBANK.NS,Union Bank of India,NSE,STOCK,NSEINDIA-COM,NIFTY200
UNITDSPR.NS,United Spirits Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
VBL.NS,Varun Beverages Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
VEDL.NS,Vedanta Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
IDEA.NS,Vodafone Idea Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
VOLTAS.NS,Voltas Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
WIPRO.NS,Wipro Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
YESBANK.NS,Yes Bank Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ZOMATO.NS,Zomato Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,NSE,STOCK,NSEINDIA-COM,NIFTY200
