symbol,name,sector_code,sub_industry_code,exchange_code,asset_type,country_code,data_source, note_1
A,Agilent Technologies Inc,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AAL,American Airlines Group Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AAP,Advance Auto Parts Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AAPL,Apple Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ABBV,Abbvie Inc,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ABT,Abbott Laboratories,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ACGL,Arch Capital Group Ltd,40,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ACN,Accenture plc - Class A,45,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ADBE,Adobe Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ADI,Analog Devices Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ADM,Archer Daniels Midland Company,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ADP,Automatic Data Processing Inc,20,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ADSK,Autodesk Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AEE,Ameren Corp,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AEP,American Electric Power Company Inc,55,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AES,AES Corp,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AFL,Aflac Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AIG,American International Group Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AIZ,Assurant Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AJG,Arthur J. Gallagher & Company,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AKAM,Akamai Technologies Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ALB,Albemarle Corp,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ALGN,Align Technology Inc,35,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ALK,Alaska Air Group Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ALL,Allstate Corp (The),40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ALLE,Allegion plc,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AMAT,Applied Materials Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AMCR,Amcor Plc,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AMD,Advanced Micro Devices Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AME,Ametek Inc,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AMGN,AMGEN Inc,35,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AMP,Ameriprise Financial Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AMT,American Tower Corp,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AMZN,Amazon.com Inc,25,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ANET,Arista Networks Inc,45,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ANSS,Ansys Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AON,Aon plc. - Class A,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AOS,A.O. Smith Corp,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
APA,APA Corporation,10,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
APD,Air Products & Chemicals Inc,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
APH,Amphenol Corp - Class A,45,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
APTV,Aptiv PLC,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ARE,Alexandria Real Estate Equities Inc,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ATO,Atmos Energy Corp,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AVB,Avalonbay Communities Inc,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AVGO,Broadcom Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AVY,Avery Dennison Corp,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AWK,American Water Works Co. Inc,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AXON,Axon Enterprise Inc,20,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
AXP,American Express Company,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
AZO,Autozone Inc,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BA,Boeing Company,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BAC,Bank Of America Corp,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BALL,Ball Corp,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BAX,Baxter International Inc,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BBWI,Bath & Body Works Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BBY,Best Buy Co. Inc,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BDX,Becton Dickinson & Company,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BEN,Franklin Resources Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BF-B,Brown-Forman Corp - Class B,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BFEB,Innovator U.S. Equity Buffer ETF - February,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,BATS,ETF,US,YFINANCE,SP500
BG,Bunge Global SA,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BIIB,Biogen Inc,35,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
BIO,Bio-Rad Laboratories Inc - Class A,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BK,Bank Of New York Mellon Corp,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BKNG,Booking Holdings Inc,25,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
BKR,Baker Hughes Co - Class A,10,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
BLK,Blackrock Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BMY,Bristol-Myers Squibb Company,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BR,Broadridge Financial Solutions Inc,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BRK-B,Berkshire Hathaway Inc - Class B,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BRO,Brown & Brown Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BSX,Boston Scientific Corp,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BWA,BorgWarner Inc,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
BXP,Boston Properties Inc,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
C,Citigroup Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CAG,Conagra Brands Inc,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CAH,Cardinal Health Inc,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CARR,Carrier Global Corp,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CAT,Caterpillar Inc,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CB,Chubb Ltd,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CBOE,Cboe Global Markets Inc,40,SUB_INDUSTRY_CODE_XXX,BATS,STOCK,US,YFINANCE,SP500
CBRE,CBRE Group Inc - Class A,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CCI,Crown Castle Inc,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CCL,Carnival Corp (Paired Stock),25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CDAY,Ceridian HCM Holding Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CDNS,Cadence Design Systems Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CDW,CDW Corp,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CE,Celanese Corp - Series A,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CEG,Constellation Energy Corporation,55,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CF,CF Industries Holdings Inc,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CFG,Citizens Financial Group Inc,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CHD,Church & Dwight Co. Inc,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CHRW,C.H. Robinson Worldwide Inc,20,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CHTR,Charter Communications Inc - Class A,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CI,Cigna Group (The),35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CINF,Cincinnati Financial Corp,40,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CL,Colgate-Palmolive Company,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CLX,Clorox Company,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CMA,Comerica Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CMCSA,Comcast Corp - Class A,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CME,CME Group Inc - Class A,40,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CMG,Chipotle Mexican Grill,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CMI,Cummins Inc,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CMS,CMS Energy Corporation,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CNC,Centene Corp,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CNP,Centerpoint Energy Inc,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
COF,Capital One Financial Corp,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
COO,Cooper Companies Inc,35,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
COP,Conoco Phillips,10,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
COST,Costco Wholesale Corp,30,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CPB,Campbell Soup Company,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CPRT,Copart Inc,20,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CPT,Camden Property Trust,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CRL,Charles River Laboratories International Inc,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CRM,Salesforce Inc,45,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CSCO,Cisco Systems Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CSGP,Costar Group Inc,60,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CSX,CSX Corp,20,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CTAS,Cintas Corporation,20,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CTLT,Catalent Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CTRA,Coterra Energy Inc,10,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CTSH,Cognizant Technology Solutions Corp - Class A,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
CTVA,Corteva Inc,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CVS,CVS Health Corp,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CVX,Chevron Corp,10,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
CZR,Caesars Entertainment Inc,25,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
D,Dominion Energy Inc,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DAL,Delta Air Lines Inc,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DD,DuPont de Nemours Inc,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DE,Deere & Company,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DFS,Discover Financial Services,40,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DG,Dollar General Corp,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DGX,Quest Diagnostics Inc,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DHI,D.R. Horton Inc,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DHR,Danaher Corp,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DIS,Walt Disney Co (The),SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DISH,Dish Network Corp - Class A,,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
DLR,Digital Realty Trust Inc,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DLTR,Dollar Tree Inc,30,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
DOV,Dover Corp,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DOW,Dow Inc,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DPZ,Dominos Pizza Inc,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DRI,Darden Restaurants Inc,25,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DTE,DTE Energy Company,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DUK,Duke Energy Corp,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DVA,DaVita Inc,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DVN,Devon Energy Corp,10,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DXC,DXC Technology Company,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
DXCM,Dexcom Inc,35,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
EA,Electronic Arts Inc,SECTOR_CODE_XXX,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
EBAY,EBay Inc,25,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
ECL,Ecolab Inc,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ED,Consolidated Edison Inc,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
EFX,Equifax Inc,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
EIX,Edison International,55,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
EL,Estee Lauder Cos. Inc - Class A,30,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ELV,Elevance Health Inc,35,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
EMN,Eastman Chemical Company,15,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
EMR,Emerson Electric Company,20,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
ENPH,Enphase Energy Inc,45,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
EOG,EOG Resources Inc,10,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
EPAM,EPAM Systems Inc,45,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
EQIX,Equinix Inc,60,SUB_INDUSTRY_CODE_XXX,NASDAQ,STOCK,US,YFINANCE,SP500
EQR,Equity Residential Properties Trust,60,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
EQT,EQT Corp,10,SUB_INDUSTRY_CODE_XXX,NYSE,STOCK,US,YFINANCE,SP500
